2023-05-13 07:33:23,384, INFO: TRAIN OurMulti in episode 113 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 21.552,V_MeanSquareError:1.0528,times:26
2023-05-13 07:33:40,462, INFO: TRAIN OurMulti in episode 114 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 15.591,V_MeanSquareError:1.0002,times:28
2023-05-13 07:33:57,235, INFO: TRAIN OurMulti in episode 115 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 13.533,V_MeanSquareError:1.2498,times:28
2023-05-13 07:34:13,878, INFO: TRAIN OurMulti in episode 116 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 15.899,V_MeanSquareError:1.0157,times:100
2023-05-13 07:34:34,705, INFO: TRAIN OurMulti in episode 117 has success rate: 0.00, collision rate: 1.00, nav time: 9.0, total reward: 17.471,V_MeanSquareError:1.1277,times:18
2023-05-13 07:34:49,980, INFO: TRAIN OurMulti in episode 118 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 17.183,V_MeanSquareError:1.1522,times:31
2023-05-13 07:35:07,008, INFO: TRAIN OurMulti in episode 119 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 18.001,V_MeanSquareError:1.2054,times:100
2023-05-13 07:35:28,143, INFO: TRAIN OurMulti in episode 120 has success rate: 0.00, collision rate: 1.00, nav time: 9.5, total reward: 20.913,V_MeanSquareError:0.983,times:19
2023-05-13 07:35:45,804, INFO: TRAIN OurMulti in episode 121 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 16.152,V_MeanSquareError:0.9699,times:100
2023-05-13 07:36:06,240, INFO: TRAIN OurMulti in episode 122 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.78,V_MeanSquareError:1.0999,times:100
2023-05-13 07:36:20,444, INFO: TRAIN OurMulti in episode 123 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 21.297,V_MeanSquareError:1.1953,times:100
2023-05-13 07:36:38,573, INFO: TRAIN OurMulti in episode 124 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 14.704,V_MeanSquareError:0.941,times:100
2023-05-13 07:36:56,421, INFO: TRAIN OurMulti in episode 125 has success rate: 0.00, collision rate: 1.00, nav time: 12.0, total reward: 14.049,V_MeanSquareError:1.0115,times:24
2023-05-13 07:37:16,770, INFO: TRAIN OurMulti in episode 126 has success rate: 0.00, collision rate: 1.00, nav time: 16.5, total reward: 17.839,V_MeanSquareError:1.2568,times:33
2023-05-13 07:37:34,970, INFO: TRAIN OurMulti in episode 127 has success rate: 0.00, collision rate: 1.00, nav time: 17.0, total reward: 14.941,V_MeanSquareError:1.2774,times:34
2023-05-13 07:37:52,135, INFO: TRAIN OurMulti in episode 128 has success rate: 0.00, collision rate: 1.00, nav time: 9.5, total reward: 23.696,V_MeanSquareError:1.278,times:19
2023-05-13 07:38:10,575, INFO: TRAIN OurMulti in episode 129 has success rate: 0.00, collision rate: 1.00, nav time: 17.0, total reward: 13.619,V_MeanSquareError:1.2185,times:34
2023-05-13 07:38:25,116, INFO: TRAIN OurMulti in episode 130 has success rate: 0.00, collision rate: 1.00, nav time: 10.5, total reward: 23.572,V_MeanSquareError:1.0042,times:21
2023-05-13 07:38:45,662, INFO: TRAIN OurMulti in episode 131 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 17.332,V_MeanSquareError:1.1972,times:29
2023-05-13 07:39:03,312, INFO: TRAIN OurMulti in episode 132 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 17.827,V_MeanSquareError:1.051,times:31
2023-05-13 07:39:23,436, INFO: TRAIN OurMulti in episode 133 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 19.093,V_MeanSquareError:0.9935,times:100
2023-05-13 07:39:42,641, INFO: TRAIN OurMulti in episode 134 has success rate: 0.00, collision rate: 1.00, nav time: 13.0, total reward: 19.606,V_MeanSquareError:0.9609,times:26
2023-05-13 07:39:55,922, INFO: TRAIN OurMulti in episode 135 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 17.212,V_MeanSquareError:0.9948,times:29
2023-05-13 07:40:16,414, INFO: TRAIN OurMulti in episode 136 has success rate: 0.00, collision rate: 1.00, nav time: 16.0, total reward: 16.121,V_MeanSquareError:1.2056,times:32
2023-05-13 07:40:33,610, INFO: TRAIN OurMulti in episode 137 has success rate: 0.00, collision rate: 1.00, nav time: 15.5, total reward: 14.053,V_MeanSquareError:1.2577,times:31
2023-05-13 07:40:52,010, INFO: TRAIN OurMulti in episode 138 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 19.769,V_MeanSquareError:1.0676,times:100
2023-05-13 07:41:08,581, INFO: TRAIN OurMulti in episode 139 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 20.487,V_MeanSquareError:1.1052,times:22
2023-05-13 07:41:30,913, INFO: TRAIN OurMulti in episode 140 has success rate: 0.00, collision rate: 1.00, nav time: 16.5, total reward: 16.322,V_MeanSquareError:1.0032,times:33
2023-05-13 07:41:48,559, INFO: TRAIN OurMulti in episode 141 has success rate: 0.00, collision rate: 1.00, nav time: 8.0, total reward: 17.255,V_MeanSquareError:1.1073,times:16
2023-05-13 07:42:03,070, INFO: TRAIN OurMulti in episode 142 has success rate: 0.00, collision rate: 1.00, nav time: 14.5, total reward: 21.727,V_MeanSquareError:0.986,times:29
2023-05-13 07:42:23,909, INFO: TRAIN OurMulti in episode 143 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 19.972,V_MeanSquareError:1.0802,times:28
2023-05-13 07:42:40,229, INFO: TRAIN OurMulti in episode 144 has success rate: 0.00, collision rate: 1.00, nav time: 10.5, total reward: 16.288,V_MeanSquareError:1.0638,times:21
2023-05-13 07:42:59,451, INFO: TRAIN OurMulti in episode 145 has success rate: 0.00, collision rate: 1.00, nav time: 14.0, total reward: 23.115,V_MeanSquareError:1.1929,times:28
2023-05-13 07:43:13,250, INFO: TRAIN OurMulti in episode 146 has success rate: 0.00, collision rate: 1.00, nav time: 9.0, total reward: 21.299,V_MeanSquareError:0.9714,times:18
2023-05-13 07:43:35,677, INFO: TRAIN OurMulti in episode 147 has success rate: 0.00, collision rate: 1.00, nav time: 11.0, total reward: 17.547,V_MeanSquareError:1.206,times:22
2023-05-13 07:43:52,283, INFO: TRAIN OurMulti in episode 148 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 22.586,V_MeanSquareError:0.9369,times:100
2023-05-13 07:44:11,223, INFO: TRAIN OurMulti in episode 149 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 14.971,V_MeanSquareError:1.1291,times:100
2023-05-13 07:44:28,040, INFO: TRAIN OurMulti in episode 150 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 18.816,V_MeanSquareError:1.1275,times:100
2023-05-13 07:44:44,998, INFO: TRAIN OurMulti in episode 151 has success rate: 0.00, collision rate: 0.00, nav time: 50.0, total reward: 12.759,V_MeanSquareError:0.9707,times:100
2023-05-13 07:45:02,982, INFO: TRAIN OurMulti in episode 152 has success rate: 0.00, collision rate: 1.00, nav time: 10.0, total reward: 21.606,V_MeanSquareError:1.1883,times:20
